### Module positions - created on Tue 03 Dec 2019 04:23:24 CST ###
### Printed by Pcbnew version 5.99.0-unknown-r17145-8bd2765f
## Unit = mm, Angle = deg.
## Side : bottom
# Ref     Val                   Package                                                      PosX       PosY       Rot  Side
A1        ESP32-WROVER-I        ESP32-WROVER-I                                             0.0000   125.7250  180.0000  bottom
C1        15pF                  C_0402_1005Metric                                        -14.0970   127.8890  180.0000  bottom
C2        15pF                  C_0402_1005Metric                                        -14.0970   122.8090    0.0000  bottom
C3        100nF                 C_0402_1005Metric                                        -10.5410   133.3500   90.0000  bottom
C4        22uF                  C_0603_1608Metric                                        -13.8684   131.4600  -90.0000  bottom
C5        100nF                 C_0402_1005Metric                                        -15.3670   132.8674   90.0000  bottom
C6        1uF                   C_0603_1608Metric                                        -33.0000   100.5000   90.0000  bottom
C7        1uF                   C_0603_1608Metric                                        -33.0000    97.5000   90.0000  bottom
C8        1uF                   C_0603_1608Metric                                        -47.4472   104.0384   90.0000  bottom
C9        1uF                   C_0603_1608Metric                                        -41.1988    96.8248   90.0000  bottom
C10       1uF                   C_0603_1608Metric                                        -39.3192   124.8156   77.5000  bottom
C11       100nF                 C_0402_1005Metric                                        -37.6428   123.4948   77.5000  bottom
C12       22uF                  C_0603_1608Metric                                         35.2552   100.1776  -91.0000  bottom
C13       4.7uF                 C_0805_2012Metric                                        -23.5458   115.0046   90.0000  bottom
C14       4.7uF                 C_0805_2012Metric                                        -19.6000   109.1500    0.0000  bottom
C15       1uF                   C_0603_1608Metric                                        -19.6000   107.2500    0.0000  bottom
C16       1uF                   C_0603_1608Metric                                        -29.6418   110.5088    0.0000  bottom
C17       1uF                   C_0603_1608Metric                                        -29.6418   112.0582    0.0000  bottom
C18       1uF                   C_0603_1608Metric                                        -29.6418   114.0648    0.0000  bottom
C19       1uF                   C_0603_1608Metric                                        -26.0350   114.0648  180.0000  bottom
C20       1uF                   C_0603_1608Metric                                        -26.0260   116.1464  180.0000  bottom
C21       1uF                   C_0603_1608Metric                                        -29.6328   116.1464    0.0000  bottom
C22       1uF                   C_0603_1608Metric                                        -26.0260   117.6466  180.0000  bottom
C23       1uF                   C_0603_1608Metric                                        -23.0124   117.4684  180.0000  bottom
C24       1uF                   C_0603_1608Metric                                        -29.6328   117.6466    0.0000  bottom
C25       100nF                 C_0402_1005Metric                                         49.8856   112.6744  -96.0000  bottom
C26       100nF                 C_0402_1005Metric                                         45.4660    67.1068  106.0000  bottom
C27       100nF                 C_0402_1005Metric                                         22.3520    25.4508  -49.0000  bottom
C28       100nF                 C_0402_1005Metric                                        -24.0284    27.3812  -131.0000  bottom
C29       100nF                 C_0402_1005Metric                                        -46.1772    69.5960  -106.0000  bottom
C30       100nF                 C_0402_1005Metric                                        -49.6824   114.1984  -84.0000  bottom
C31       100nF                 C_0402_1005Metric                                          3.9878   108.1278   45.0000  bottom
C32       100pF                 C_0402_1005Metric                                          5.3340   106.7816   45.0000  bottom
C33       1uF                   C_0603_1608Metric                                          5.8166   108.0516   45.0000  bottom
C34       100nF                 C_0402_1005Metric                                          4.1148    96.1992  -45.0000  bottom
C35       100pF                 C_0402_1005Metric                                          6.7564   105.3592  -135.0000  bottom
C36       1uF                   C_0603_1608Metric                                          8.0264   105.8164  -135.0000  bottom
C37       DNP                   C_0402_1005Metric                                         19.5453    41.0972  -90.0000  bottom
C38       100nF                 C_0402_1005Metric                                        -49.4284    86.1568   90.0000  bottom
C39       1uF                   C_0603_1608Metric                                        -46.3296    75.2856  -90.0000  bottom
C40       1uF                   C_0603_1608Metric                                        -48.5648    75.5840  180.0000  bottom
C41       100nF                 C_0402_1005Metric                                        -44.1222    74.3393  180.0000  bottom
C42       100nF                 C_0402_1005Metric                                        -47.9552    86.1504   90.0000  bottom
C43       1uF                   C_0603_1608Metric                                        -44.0944    75.6093  180.0000  bottom
C44       1uF                   C_0603_1608Metric                                        -46.7360    86.7092   90.0000  bottom
C45       15pF                  C_0402_1005Metric                                         18.5674    41.0972  -90.0000  bottom
C46       15pF                  C_0402_1005Metric                                         15.6972    44.0182    0.0000  bottom
C47       1.5nF                 C_0402_1005Metric                                         13.4874    32.3874  -90.0000  bottom
C48       10nF                  C_0402_1005Metric                                          1.7018    32.1080    0.0000  bottom
C49       100pF                 C_0402_1005Metric                                          1.7018    33.2002    0.0000  bottom
C50       33pF                  C_0402_1005Metric                                          3.6830    32.1080  180.0000  bottom
C51       47nF                  C_0402_1005Metric                                         15.1130    36.0450  180.0000  bottom
C52       15pF                  C_0402_1005Metric                                          5.9690    32.1080  180.0000  bottom
C53       47nF                  C_0402_1005Metric                                         12.3444    31.3206  -90.0000  bottom
C54       3.3pF                 C_0402_1005Metric                                          8.4582    30.6094  -90.0000  bottom
C55       1pF                   C_0402_1005Metric                                          4.4450    30.6856   90.0000  bottom
C56       47nF                  C_0402_1005Metric                                         15.3162    37.3150  180.0000  bottom
C57       2.2pF                 C_0402_1005Metric                                          5.9944    29.1870    0.0000  bottom
C58       47nF                  C_0402_1005Metric                                         14.9098    33.4542  180.0000  bottom
C59       47nF                  C_0402_1005Metric                                         17.5514    38.2802  180.0000  bottom
C60       3.3pF                 C_0402_1005Metric                                         10.3378    30.6094  -90.0000  bottom
C61       3pF                   C_0402_1005Metric                                          4.9911    26.2025  180.0000  bottom
C62       47nF                  C_0402_1005Metric                                          5.7404    34.2289    0.0000  bottom
C63       47nF                  C_0402_1005Metric                                         15.1638    34.7242  180.0000  bottom
C64       DNP                   C_0402_1005Metric                                          6.9088    25.0087  180.0000  bottom
C65       47nF                  C_0402_1005Metric                                          5.4967    36.7943    0.0000  bottom
C66       10nF                  C_0402_1005Metric                                         11.3538    31.3230  -90.0000  bottom
C67       47nF                  C_0402_1005Metric                                         12.1285    40.7948   90.0000  bottom
C68       220nF                 C_0402_1005Metric                                          8.0010    40.7694    0.0000  bottom
C69       47nF                  C_0402_1005Metric                                          9.7917    40.7948   90.0000  bottom
C70       DNP                   C_0402_1005Metric                                          9.4615    24.1070  180.0000  bottom
C71       47nF                  C_0402_1005Metric                                          5.0292    38.0897    0.0000  bottom
C72       1pF                   C_0402_1005Metric                                          8.9789    22.5068  -90.0000  bottom
C73       1uF                   C_0603_1608Metric                                        -16.7386    29.6418    0.0000  bottom
C74       1uF                   C_0603_1608Metric                                        -19.7358    29.6418  180.0000  bottom
C75       100nF                 C_0402_1005Metric                                         36.0582   109.1160   90.0000  bottom
D1        Green                 1206                                                     -26.4000    96.6000  180.0000  bottom
D2        Orange                1206                                                     -26.4000    99.0000  180.0000  bottom
D3        SS13FL                D_SOD-123F                                               -38.6080    99.1108   90.0000  bottom
D4        Yellow                1206                                                     -26.4000   101.4000  180.0000  bottom
D5        _ESD5Z6.0T5G          SOD-523-numbered-pads                                    -33.7900   124.7100  -12.5000  bottom
D6        _ESD5Z6.0T5G          SOD-523-numbered-pads                                    -31.2500   125.2700  167.5000  bottom
D7        _ESD5Z6.0T5G          SOD-523-numbered-pads                                    -28.7200   125.8300  167.5000  bottom
D8        SS13FL                D_SOD-123F                                               -19.9000   113.5500    0.0000  bottom
D9        SS13FL                D_SOD-123F                                               -19.8828   111.2214  180.0000  bottom
D10       SS13FL                D_SOD-123F                                               -23.8000   106.4000    0.0000  bottom
D11       _ESD5Z6.0T5G          SOD-523-numbered-pads                                     -3.4290    34.7426  -90.0000  bottom
D12       _ESD5Z6.0T5G          SOD-523-numbered-pads                                     -1.9558    34.7426  -90.0000  bottom
D17       _ESD5Z6.0T5G          SOD-523-numbered-pads                                      2.4638    34.7426  -90.0000  bottom
D18       _ESD5Z6.0T5G          SOD-523-numbered-pads                                      0.9906    34.7426  -90.0000  bottom
D19       _ESD5Z6.0T5G          SOD-523-numbered-pads                                     -0.4826    34.7426  -90.0000  bottom
D20       _ESD5Z6.0T5G          SOD-523-numbered-pads                                    -47.5996   116.1288   -9.0000  bottom
D21       _ESD5Z6.0T5G          SOD-523-numbered-pads                                    -47.3456   114.6048   -9.0000  bottom
FID4      Fiducial              Fiducial_1mm_Mask2mm                                     -42.0000   115.0000   -0.0000  bottom
FID5      Fiducial              Fiducial_1mm_Mask2mm                                      45.0000   117.0000   -0.0000  bottom
FID6      Fiducial              Fiducial_1mm_Mask2mm                                     -20.0000    22.0000   -0.0000  bottom
J1        532610271             Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal    -8.1000   100.9000   90.0000  bottom
J3        UJ2-AH-1-SMT          jing-lcsc-C46400                                          31.4000   124.3000   13.0000  bottom
J4        TF-15x15              microSD_HC_Sofng_TF-15                                    47.7520   102.6668   89.0000  bottom
J5        Conn_01x24            AFC07x24-1MP_P0.5mm_Horizontal                           -34.2078   112.5714  -90.0000  bottom
J6        3020-10-0300-00       IDC-Header_2x05_P2.54mm_Vertical_SMD                      19.2532   107.1626  180.0000  bottom
J9        532610271             Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal   -25.7377    39.7985   90.0000  bottom
J10       PJ-320D               Jack_3.5mm_PJ320D_Horizontal                             -46.1264   123.3424  -99.0000  bottom
L1        10uH_1A               L_Taiyo-Yuden_MD-5050                                    -25.0000   110.5000  -90.0000  bottom
L2        10nH                  L_0402_1005Metric                                          6.2992    33.2002  180.0000  bottom
