References,Quantity Per PCB,Value,Rating,Manufacturer,MPN,Description,Footprint
A1,1,ESP32-WROVER-I,,,,,ESP32-WROVER-I
C47,1,1.5nF,,,,Unpolarized capacitor,C_0402_1005Metric
C3 C5 C11 C25 C26 C27 C28 C29 C30 C31 C34 C38 C41 C42 C75,15,100nF,,,,Unpolarized capacitor,C_0402_1005Metric
C32 C35 C49,3,100pF,,,,Unpolarized capacitor,C_0402_1005Metric
C48 C66,2,10nF,,,,Unpolarized capacitor,C_0402_1005Metric
C1 C2 C45 C46 C52,5,15pF,,,,Unpolarized capacitor,C_0402_1005Metric
C55 C72,2,1pF,,,,Unpolarized capacitor,C_0402_1005Metric
C6 C7 C8 C9 C10 C15 C16 C17 C18 C19 C20 C21 C22 C23 C24 C33 C36 C39 C40 C43 C44 C73 C74,23,1uF,50V,,,Unpolarized capacitor,C_0603_1608Metric
C57,1,2.2pF,,,,Unpolarized capacitor,C_0402_1005Metric
C68,1,220nF,,,,Unpolarized capacitor,C_0402_1005Metric
C4 C12,2,22uF,,,,Unpolarized capacitor,C_0603_1608Metric
C54 C60,2,3.3pF,,,,Unpolarized capacitor,C_0402_1005Metric
C50,1,33pF,,,,Unpolarized capacitor,C_0402_1005Metric
C61,1,3pF,,,,Unpolarized capacitor,C_0402_1005Metric
C13 C14,2,4.7uF,,,,Unpolarized capacitor,C_0805_2012Metric
C51 C53 C56 C58 C59 C62 C63 C65 C67 C69 C71,11,47nF,,,,Unpolarized capacitor,C_0402_1005Metric
D5 D6 D7 D11 D12 D17 D18 D19 D20 D21,10, ESD5Z6.0T5G,,,ESD5Z5.0VC,Bidirectional transient-voltage-suppression diode,SOD-523-numbered-pads
D1,1,Green,,Lite-On Inc.,LTST-C150KGKT,LED GREEN CLEAR 1206 SMD,1206
D2,1,Orange,,Lite-On Inc.,LTST-C150KSKT,LED YELLOW CLEAR 1206 SMD,1206
D3 D8 D9 D10,4,SS13FL,,,,Schottky diode,D_SOD-123F
D4,1,Yellow,,Lite-On Inc.,LTST-C150KSKT,LED YELLOW CLEAR 1206 SMD,1206
